YEAR,cr,TM,HM,AP,AAT_c,ATR_c,MIN_Tc,MAX_Tc
1913,44.9,0,0,58.00,12.78,7.11,-0.39,24.5
1914,42.06,1,0,40.17,11.11,9.56,-3.67,23.67
1915,42.38,0,0,45.73,11.94,4.67,0.83,23.28
1916,36.32,0,1,37.90,11.22,8.61,-2.28,24.11
1917,32.39,0,0,41.04,10.39,10.67,-3.89,24.56
1918,26.31,0,0,38.27,11.78,12.67,-0.89,24.72
1919,26.13,0,0,53.29,12.11,7.17,-1,23.94
1920,24.69,1,0,53.20,11.28,10.50,-1.94,23.5
1921,23.15,0,0,37.76,12.72,7.11,0.28,25.17
1922,23.37,0,0,44.66,11.94,7.50,0.89,23.17
1923,19.37,0,0,40.57,11.61,8.67,-3.22,23.22
1924,20.01,0,0,41.72,11.06,7.44,-1.72,23.5
1925,17.88,0,0,41.43,11.89,7.72,1.56,23.5
1926,16.9,0,0,47.83,10.67,7.89,-1.72,23.94
1927,17.06,0,0,56.06,11.89,6.17,2.44,23.33
1928,17.96,0,0,45.62,12.00,6.06,0.56,24.39
1929,18.02,0,0,40.38,12.28,6.67,0.5,24.39
1930,18.01,0,0,38.95,12.50,6.17,1.44,24.67
1931,17.75,0,0,36.07,13.22,7.06,1.06,25.28
1932,16.21,0,0,43.93,12.89,4.78,2.28,24.83
1933,15.17,0,1,53.53,12.33,6.17,0.39,24.33
1934,14.99,0,1,49.84,11.67,14.33,-6.72,25.39
1935,13.14,0,0,33.85,11.72,9.06,-1.11,25.11
1936,13.46,0,1,49.83,11.89,10.28,-3.5,24.56
1937,13.46,0,0,52.97,12.50,5.44,1.56,24.78
1938,13.23,0,1,48.49,12.89,7.83,1.89,25.67
1939,12.47,0,0,38.55,12.61,7.72,2.72,25.61
1940,12.06,1,0,45.07,11.06,10.67,0.5,24.56
1941,12.28,1,0,39.04,12.72,8.00,-0.5,24.33
1942,13.02,1,0,48.51,12.28,8.11,-1.28,24.61
1943,11.78,1,0,36.74,12.06,7.83,0.56,24.94
1944,10.43,1,1,45.01,12.56,8.33,0.22,26.33
1945,9.19,1,1,44.98,12.28,9.72,-0.56,23.67
1946,9.22,1,0,38.36,12.94,6.50,-0.17,24.11
1947,9.78,1,0,40.79,12.11,8.17,-1.5,24.44
1948,10.63,1,0,46.87,12.28,11.00,-0.72,25.11
1949,10.9,1,1,36.24,13.83,5.00,3.67,26.44
1950,9.76,1,0,36.89,12.00,6.33,-0.22,23.89
1951,9.61,1,0,44.40,12.78,4.78,2.33,24.89
1952,9.24,1,0,41.51,13.22,6.72,2.33,26.83
1953,9.34,1,0,45.20,13.89,4.56,3.56,25.44
1954,8.38,1,1,35.58,12.72,7.72,2.17,24.83
1955,7.92,1,1,39.90,12.61,10.67,-1.28,27.17
1956,7.84,1,1,36.25,11.94,5.67,2.56,23.44
1957,7.82,0,0,36.49,13.00,9.56,2.94,25.39
1958,7.02,0,0,40.94,11.39,9.28,-2.56,24.5
1959,6.32,0,1,38.77,13.00,8.00,0.06,25.28
1960,6.04,0,1,46.39,12.22,6.67,-0.61,23.83
1961,5.59,0,1,39.32,12.83,10.22,1.94,25.61
1962,5.69,0,1,37.15,11.89,5.83,-0.28,23.33
1963,6.26,0,0,34.28,12.00,8.94,-2.06,24.67
1964,5.37,0,1,32.99,12.56,5.83,0.5,24.11
1965,5.41,0,0,26.09,12.33,7.00,1.06,23.5
1966,4.67,0,0,39.90,12.83,8.61,1.72,26.5
1967,4.51,0,0,49.12,11.67,7.83,-1.56,24.06
1968,4.1,0,0,43.57,12.28,10.33,-1.72,25.17
1969,3.74,1,1,48.54,12.67,7.56,0.33,25.22
1970,3.28,1,0,35.29,12.39,11.39,0.56,25.33
1971,3.29,0,1,56.77,12.89,10.44,1.72,25.44
1972,2.94,0,1,67.03,12.17,7.67,-0.33,25.11
1973,2.75,0,0,57.23,13.39,7.28,0.28,25.33
1974,2.67,0,0,47.69,12.61,7.50,-0.17,25.11
1975,2.87,1,0,61.21,12.72,4.44,2.11,24.33
1976,2.91,1,1,41.28,11.89,8.56,-1.17,23.78
1977,2.19,0,0,54.73,12.39,13.83,0.83,26.11
1978,1.81,0,1,49.81,11.67,9.33,-2.67,24.44
1979,2.14,0,1,52.13,13.17,10.78,-3.61,24.94
1980,2.14,0,0,44.55,12.78,9.39,-0.33,26.83
1981,2.23,0,0,38.11,12.89,11.22,2.5,25.83
1982,2.24,0,0,41.40,12.72,11.00,1.83,25.5
1983,2.31,0,1,80.56,13.33,7.22,1.78,26.39
1984,2.27,0,1,57.03,13.06,8.22,2.61,24.83
1985,2.56,0,1,38.82,13.06,8.56,1.22,24.56
1986,3.08,0,0,42.95,12.94,6.67,0,24.44
1987,3.03,0,1,46.39,12.83,7.61,0.67,25.56
1988,3.19,0,0,44.67,12.67,9.89,1.67,26.28
1989,3.49,0,1,65.11,12.22,9.50,-3.39,23.89
1990,4.81,0,0,60.92,14.00,2.78,4.33,24.89
1991,4.97,0,1,45.18,14.00,6.00,4.22,25.39
1992,5.11,0,1,43.35,12.17,3.61,2.44,23.44
1993,4.3,1,0,44.28,13.06,9.67,-0.67,26.78
1994,3.94,1,1,47.39,12.89,12.11,-0.78,26.33
1995,3.19,0,0,40.42,12.94,8.67,-0.22,26.22
1996,2.65,0,1,56.19,12.06,6.67,1.06,23.61
1997,2.22,1,1,43.93,12.39,6.44,3.5,24.33
1998,1.98,0,0,48.69,14.00,2.61,4.78,24.83
1999,1.84,0,1,42.50,13.61,8.61,3.83,27.44
2000,1.66,0,1,45.42,12.17,5.33,-0.5,22.61
2001,1.57,1,1,35.92,13.50,7.28,2.17,25.94
2002,1.35,0,1,45.21,13.56,6.00,2.22,26
2003,1.41,0,1,58.56,11.89,9.56,-1.06,24.83
2004,1.29,0,1,51.97,12.50,9.89,1.67,23.61
2005,1.22,0,1,55.97,13.22,9.11,1.83,26.5
2006,1.18,0,1,59.89,13.78,5.67,2.06,25.5
2007,1.12,0,1,61.67,12.78,8.22,-2.11,23.89
2008,1.1,1,1,53.61,12.94,5.89,2.11,25.78
2009,0.93,1,1,53.62,12.22,8.78,2.17,24.28
2010,0.87,1,0,49.37,13.72,9.33,0.44,27.39
2011,0.84,0,1,72.81,13.56,10.28,2.22,26.78
2012,0.79,0,1,38.51,14.06,5.28,4.94,26
,,,,,12.5165,7.9876,0.4454,24.8972
